// lang CZE
// ver 0.891
// for game ver 1.0b
// author rcx
// in progress - editor
// Codes can't start with : §, -, 0-9

//===System Errors
AssertCheck	---
NoteL17-01	Stejně jako můj táta ani Ty tu nevydržíš dlouho.
NoteL18-01	Pojďte ke mě zlatíška. Ja rád zlatíška.
NoteL18-02	Jsme jako spojené nádoby - Tvůj pád bude můj vzestup.
NoteL19-01	Nečekal jsem, že se dostaneš až sem...\n\nKecám, čekal jsem  ! Proč jinak by tu byla tahle poznámka ?!?\n\nZemřeš, kdy jen si budu přát. Tak si pomalu chystej poslední slova. Protože já pro Tebe žádná mít nebudu.
NoteL19-02	Přinesl[P:|a]s si Ohnivou hůl ?\n\nNe? To je dobře, stejně by Ti byla k ničemu. Mrtví většinou nepotřebují vůbec žádné hole.	// Firestaff from Dungeon Master
NoteL20-01	Smrt nevyzkoušíš.		// Yoda (if you ask "Yoda who ?", you're out of here ! ;-) )
NoteL20-02	Konečně nastal ten čas - přeješ si rychlou či pomalou smrt ?

//=== Gear Leather
GuardChest	Strážcova zbroj // hrudní plát
GuardLeggings	Strážcovy legíny
GuardBoots	Strážcovy boty
GuardGloves	Strážcovy nátepníky
GuardHelmet	Strážcova helma

//=== Gear Mail
CaptainChest	Kapitánova zbroj // hrudní plát

//=== Gear Plate
ChampionChest	Šampionův hrudní plát
ChampionLeggings	Šampionovy legíny
ChampionBoots	Šampionovy boty
ChampionGloves	Šampionovy rukavice
ChampionHelmet	Šampionova helma

//=== Gear Other
//GuardShield	Strážcův štít
//ChampionShield	Šampionův štít
CloakMage	Plášť
CloakWarrior	Kápě

ShieldA		Pukléř
ShieldB		Malý štít
ShieldC		Štít
ShieldD		Velký štít // Pavéza

//=== Gear Trinket
ShellHorn	Kousek rohoviny
Trinket1	Kovová cetka
Trinket2	Stříbrná cetka

//=== Gear Cloth
PaddedRobe	Podšitá košile
PaddedLeggings	Podšité legíny
PaddedShoes	Prošívané boty
PaddedGloves	Prošívané nátepníky
PaddedHood	Čelenka

//=== Ring
Ring		Prsten
RingA1		Stříbrný prsten s rubínem
RingA1b		Stříbrný prsten s ametystem
RingA2		Hadí prsten
RingA3		Prsten s diamantem
RingA4		Platinový prsten se smaragdem
RingB1		Stříbrný hadí prsten
RingB1b		Stříbrný prsten se smaragdem
RingB2		Prsten s rubínem 
RingB3		Prsten s ametystem
RingB4		Platinový prsten se safírem

//=== OffHand
Book1a		Kniha
Book1b		Spisek
Book2		Kodex
Book3		Bichle

//=== Necklace
Necklace1	Hadí amulet
Necklace2	Runový amulet
Necklace3	Rubínový náhrdelník
Necklace4	Smaragdový náhrdelník
Necklace5	Zlatý amulet
Necklace6	Platinový amulet
Necklace7	Ametystový náhrdelník
Necklace8	Safírový náhrdelník

//=== Consumable
HealthPotion01	Léčivá ampule
HealthPotion02	Malý léčivý lektvar
HealthPotion03	Střední léčivý lektvar
HealthPotion04	Velký léčivý lektvar
HealthPotion05	Obří léčivý lektvar	// Next: Master, then Minor/Lesser/... Healing Elixir, etc...

ManaPotion01	Ampule s manou
ManaPotion02	Malá mana
ManaPotion03	Střední mana
ManaPotion04	Velká mana
ManaPotion05	Obří mana	// Next : Mana Elixir

HastePotion01	Ampule spěchu
HastePotion02	Nápoj spěchu
HastePotion03	Velký nápoj spěchu

CritPotion01	Ampule ráznosti
CritPotion02	Nápoj ráznosti
CritPotion03	Velký nápoj ráznosti

//=== Item Slot
SlotHead	Helmice
SlotNeck	Náhrdelník
SlotShoulder	Kápě
SlotChest	Zbroj
SlotBack	Plášť
SlotWrist	Nátepníky
SlotHands	Rukavice
SlotWaist	Chrániče
SlotLegs	Kalhoty
SlotBoots	Boty
SlotMainHand	Zbraň
SlotOffHand	Štít // Štít / Zbraň
SlotRing	Prsten
SlotTrinket	Cetka
SlotAltWeapon	Záložní zbraň
SlotAll		Všechna místa / Libovolné místo
EmptySlotFor	Sem patří {0}

//=== Gear Kind
GearApparel	Oblečení
GearCloth	Látka
GearLeather	Kůže
GearMail	Kroužků
GearPlate	Ocel
GearOther	Jiný materiál
GearAll		Všechny materiály / Libovolný materiál

//=== Item Quality
QualityGarbage	Odpad
QualityCommon	Běžná
QualitySuperior	Vynikající
QualityRare	Neobvyklá
QualityEpic	Epická
QualityLegendary	Legendární
QualityAll	Všechny / libovolná kvalita

// {0} = base item name (eg: guard sword)
NameGarbage	{0} (rozpadající se)
NameCommon	{0} (běžné kv)
NameSuperior	{0} (vynikající kv)
NameRare	{0} (neobvyklé kv)
NameEpic	{0} (epické kv)
NameLegendary	{0} (legendární kv)

//=== Game
TargetUncons	Cíl omdlel
TargetConscious	Cíl je už připraven // Target is not Unconscious
CantCastOnU	Tohle na sobě vyzkoušet nemůžeš
NotEnoughMana	Málo many
QueueFull	Plná fronta
NoTarget	Nevybrán protivník
CantInterrupt	Toto přerušit prostě nejde
NeedRangedWp	Tato dovednost vyžaduje střelnou zbraň
NeedMeleeWp	Tato dovednost vyžaduje chladnou zbraň
AbRequireWp	Tato dovednost vyžaduje: {0}
Overweight	Banda toho nese moc a tudíž se hýbe pomaleji, měl by ses něčeho zbavit. // X2!
PartyStunned	Banda se nemůže hýbat : všichni jsou ochromeni !
NoSpec		Tak tenhle popisek někdo regulérně ukrad ! // Still No Spec for this Toon's Class - Work in Progress !
Casting		Soustředí se // Casting
NotFighting	Tato postava nemá protivníka,\ntakže aktuálně nebojuje
StunnedCantDo	Jsem ochromen[P:|a], takže teď neudělám vůbec nic !
WIP		Musíme to opravit :D - Pokud Bůh aktualizací dá, tak přístě je to tam ...

//=== Level Names
Level01		Zapomenutý žalář // Forgotten Jail
Level02		Podzemní pevnost // Deep Fortress
Level03		Katakomby otroků // Slave Catacombs
Level04		Zapovězená kaple // Forsaken Chapel
Level05		Opuštěná hala // Abandoned Hall
Level06		Imperiální bydlení // Imperial Quarters
Level07		Aréna // Battle Arena
Level08		Vstup do jeskyně // Cave Entrance
Level09		Podzemní les // Underground Forest
Level10		Temné jeskyně // Dark Caverns
Level11		Ztracený důl // Lost Mines
Level12		Tisíc jesknyní // Thousand Caverns
Level13		Mrtvý palác // Dead Palace
Level14		Šilencův předpokoj // Madness Antechamber
Level15		Pekelná pec // Furnace of Doom
Level16		Dračí zámek // Temple of the Dragon
Level17		Věž goblinů // Goblins' Tower
Level18		Zapovězené brány // Forbidden Gates
Level19		Nejtemnější krypta // Black Crypt
Level20		Strážcovo srdce // Guardian's Heart

//=== Notification
AddedToKeyRing	{0} přidán na kruh s klíči
LevelAutoMapped	Automatická mapa povolena pro patro {0}
LevelFullMapped	Plná mapa zpřístupněna pro patro {0}
PutInInventory	Nová věc v inventáři - {0}
LookLikeCanHold	Vypadá to jako nějaký držák...
CantHoldThat	Ale na tohle asi ne...
UsedKey		Použit {0}
NoMatchingKey	Nemám vhodný klíč
LevelUp		{0} právě povýšil[:|a] na {1} !
GotXp		Získal[:|a] {0} bodů
XpMobKill	Získal[:|a] {0} bodů za zabití {1} úrovně {2}
Screenshot	Screenshot uložen do {0}

//=== Combat Event
CeTooFar	Příliš daleko
CeMiss		Těsně vedle
CeDodged	Uhnul
CeParried	Odražen
CeDeflected	Odkloněn
CeImmune	Neúčinné


//=== Role
Role		Role
RoleTank	Tank
RoleHealer	Léčitel
RoleDps		Útočník
RoleSpellDps	[>RoleDps]
RoleStrDps	[>RoleDps]
RoleAgiDps	[>RoleDps]
RoleStrTank	[>RoleTank]
RoleAgiTank	[>RoleTank]
RoleRangedDps	[>RoleDps]

//=== Dialog
DialogSkip	Přeskočit
DialogNext	Dále
NoChatLog	Pořád ani slůvko
ClickOnLog	Klikni na záznam v logu\na uvidíš podrobnosti.

SkipIntro	Přeskočit úvod

//=== Mob Family & Genus
FamBeast	Bestie
FamCritter	Příšerka
FamDemon	Démon
FamDragonkin	Drak
FamElemental	Elementál
FamGiant	Obr
FamHumanoid	Humanoid
FamMechanical	Stroj
FamUndead	Nemrtvý
FamUnknown	Neznámo

GenCommon	Běžný
GenElite        Elita
GenRare         Vzácný
GenRareElite    Vzácná elita
GenBoss         Boss

//=== Mobs
MobSkeleton	Kostlivec
MobSkeletonMinion	Kostlivcův pomocník
MobSkeletonMage	Kostlivec - mág
MobSkeletonArcher	Kostlivec - lučíštník
MobSkeletonFootman	Kostlivec - pěšák
MobSkeletonWarlord	Kostlivec - bojovník
MobSkeletonSoldier	Kostlivec - voják
MobSkeletonChampion	Kostlivec - šampion
MobSkeletonVeteran	Kostlivec - veterán
MobAncientKnight	Starobylý rytíř
MobSkeletonCaptain	Kostlivec - kapitán
MobSkeletonKing		Kostlivec - král
MobSkeletonKnight	Kostlivec - rytíř
MobSkeletonLieutenant	Kostlivec - poručík
MobCaveWorm	Jeskynní červ
MobEvilWatcher	Ďáblovo oko
MobChaosWatcher	Oko chaosu
MobSpider	Pavouk
MobSpiderLing	Pavouček
MobSpiderQueen	Královna pavouků
MobBonesDragon	Drak - kostlivec
MobThief	Smrtící stín
MobUndeadKing	Nemrtvý král
MobCaveMonster	Jeskynní bestie
MobCaveMother	Jeskynní bestie - matka
MobForsakenKnight	Zapovězený rytíř
MobGoldenKnight	Zlatý rytíř
MobArmoredBarbarian	Obrněný barbar
MobBarbarianHulk	Barbarian - kopiník
MobBarbarianDestroyer	Barbar - ničitel
MobBarbarianLeader	Barbar - šéf
MobBarbarianUnderworld	Temný barbar
MobBarbarianSpike	Ostnatý barbar
MobImperialKnight	Imperiální rytíř
MobImperialGuard	Imperiální stráž
MobImperialMinistrel	Imperiální bard
MobBarbarianSlave	Barbar - otrok
MobBarbarianSlaver	Barbar - otrokář
MobBigBoss	Strážce podzemí
MobCaveVampire	Jeskynní upír
MobArcher2	Královský lučištník
MobArcher2-Light	Jasný avatar
MobArcher2-Shadow	Temný avatar
MobRoyalKnight	Imperiální poručík
MobWarrok	Warrok
MobBarbarianWarrior	Barbar - válečník
MobMushroomSmall	Agresivní houba
MobMushroomBig	Pekelná houba
MobCaveTroll	Jeskynní trol
MobSnake	Had
MobSnakeLing	Hádě
MobSnakeKing	Král hadů
MobDragonBat	Netopýr dračí
MobDragonBatPup	Netopýrek dračí
MobDragonVampire	Drak - upír
MobWormCave	Jeskynní červ
MobWormDragon	Dračí červ
MobCavePredator	Jeskynní predátor
MobCavePatriarch	Jeskynní vládce
MobGnomeWorker	Gnóm - dělník
MobGnomeWarrior	Gnóm - bojovník
MobGnomePriest	Gnóm - kněz
MobGnomeArcher	Gnóm - lučištník
MobGnomeGiant	Gnóm - obr
MobGnomeGiant2	Gnóm - obr
MobGnomeProtector	Gnóm - ochránce
MobElvenWitch	Elf - čarodejnice
MobElvenHunter	Elf - lovec
MobElvenAssassin	Elf - vrah
MobElvenSwordGuard	Elf - šermíř
MobElvenSpearGuard	Elf - kopiník
MobElvenBeast	Elfí bestie
MobElvenBeastArmored	Obrněná elfí bestie
MobElvenQueenBeast	Elvfí královna - bestie
MobElvenQueen	Elfí královna
MobSnakeMinion	Had - pomocník
MobGolemSoldier	Golem - voják
MobGolemCrusher	Golem - drtič
MobGolemGuard	Golem - stráž
MobGolemMage	Golem - mág
MobGolemAssassin	Golem - vrah
MobGolemArcher	Golem - lučištník
MobRatkinWarrior	Krysák - bojovník
MobRatkinGunner	Krysák - střelec
MobRatkinShaman	Krysák - šaman
MobRatkinSlave	Krysák - otrok
MobRatkinWarlord	Krysák - hrdina
MobTrollWarrior	Trol - bojovník
MobCyclops	Kyklop
MobLizardman	Ještěr
MobOrcGrunt	Ork - mrzout
MobOrcBrute	Ork - nelida
MobWarlock	Bojový mág
MobPigHead	Prasečí hlava
MobEmissary	Vyslanec
MobDragon	Drak
MobDragonIce	Ledový drak
MobMinionCrusher	Pomocník - drtič
MobMinionGuard	Pomocník - stráž
MobMinionAssassin	Pomocník - vrah
MobGoblinBandit	Goblin - bandita
MobGoblinBaron	Goblin - baron
MobGoblinGladiator	Goblin - gladiátor
MobGoblinShaman	Goblin - šaman
MobGoblinSlave	Goblin - otrok
MobSoulEater	Požírač duší
MobSoulDevourer	Lovec duší
MobSoulCrusher	Ničitel duší
MobDemonWarrior	Démon - bojovník
MobDragonBugTiny	Malý dračí brouk
MobDragonBug	Dračí brouk
MobDragonBugGiant	Velký dračí brouk
MobGargoyle	Chrlič
MobGargoyleLesser	Malý chrlič
MobGargoyleBanished	Zapovězený chrlič
MobBasilisk	Bazilišek
MobBasiliskLesser	Vodní bazilišek
MobBasiliskGreater	Popelavý bazilišek
MobWyvern	Saň
MobWyvernElder	Stará saň
MobSorceress	Čarodějka
MobNightshade	Stín noci
MobDemonist	Pekelník
MobBigBoss1	[>MobBigBoss]
MobBigBoss2	[>MobBigBoss1]
MobBigBoss3	[>MobBigBoss1]
MobBigBoss4	[>MobBigBoss1]
MobEmperorGhost	Císařův duch
MobJanitor	Žalářník
MobWarden	Správce vězení

//=== Races
RaceHuman	Člověk
RaceDwarf	Trpaslík
RaceElf		Elf
RaceDarkElf	Temný elf
RaceHalfling	Půlčík

DescRaceHuman	Lidé jsou nejběžnější rasou v těchto končinách a kupodivu mají silnou vůli.
DescRaceDwarf	O co jsou trpaslící menší o to jsou silnější. Užívají si život v podhůří.
DescRaceElf	Elfové jsou dětmi lesa, moudří, ale uzavření.
DescRaceDarkElf	O temných elfech se říká, že jsou batři elfů, kteří se nechali svést temnou magií a žijí v podzemí.
DescRaceHalfling	Půlčíci sice vypadají jako malí, slabí lidé, ale opak je pravdou - jsou krajně čilí.

//=== Sex
SexGender	[:Muž|Žena]

//=== Default Names
CharName01	[:Honza|Matylda]
CharName02	[:Elifelet|Aurora]
CharName03	[:Tatius|Medúza]
CharName04	[:Ewald|Emilka]
CharName05	[:Čeněk|Hilda]

//=== Classes
ClassWarrior	Bojovník
ClassHealer	Léčitel
ClassMage	Mág
ClassRogue	Zloděj

DescClassWarrior	Bojovníci jsou tvorové první linie, kosící nepřátele a bránící přátele.
DescClassHealer	Léčitelé se starají o celou bandu, ale hlavně o Tanka.
DescClassMage	Mágové užívají svých tajemných sil k boji z dálky.
DescClassRogue	Zloději využívají taktiku k překvapení nepřátel a ochraně přátel.


//=== Hand Wielding
Wielding	Úchop
HandMain	Pravou rukou
HandOff		Levou rukou
HandAny		Libovolnou rukou
HandBastard	Bastard
HandBoth	Obouruční
HandAll		Libovolný

//=== Character Sheet
ArmorRating	Obrana // Hodnocení zbroje
TotalRating	Celkem // Celkové hodnocení
RateVsLvl	vs nepřítel úrovně {0}
RateVsBoss	vs boss
DamagePerSecond	DPS (poškození za sekundu)
Experience	Zkušenosti
ToonLevel	Úroveň
WarnEquipCombat	Během boje nelze měnit zbraně
GearRestricted	Tahle věc není pro vybranou postavu vhodná
BaseBonus	Základ: {0}\nBonus: {1}
BaseMalus	Základ: {0}\nHandicap: {1}

//=== Attributes
Str		Síla // Strength
Agi		Agilita // Agility
Awa		Pozornost // Awareness
Wil		Síla vůle // Willpower
Sta		Odolnost // Stamina
HP		Zdraví // Health
HpRegn		Uzdravování
HpCbRegn	Uzdravování v boji
Mana		Mana
ManaRegn	Obnova many
ManaCbRg	Obnova many v boji
AP		Síla útoku
RAP		Síla střelného útoku
SP		Síla kouzla
Parry		Odražení
Dodge		Úhyb
Block		Blokování
Armor		Brnění
ResNat		[>DmgNature]
ResArcan	[>DmgArcane]
ResFire		[>DmgFire]
ResFrost	[>DmgFrost]
ResShad		[>DmgShadow]
ResHoly		[>DmgHoly]
ResFall		[>DmgFall]
Crit		Šance na kritický zásah (šnKZ)
mCritX		x poškození při KZ chladnou zbraní
rCritX		x poškození při KZ střelnou zbraní
sCritX		x poškození při KZ dovedností // kouzlem
Haste		Spěch
Hit		Šance na zásah
Xpertise	Expertýza
XP		XP (zkušenost)
WpDps		DPS (poškození za sekundu)
WpSpeed		Rychlost
WpDamage	Poškození

AttGeneral	Obecné
Att1st		Vlastnosti
AttMelee	Chladné zbraně
AttRanged	Střelné zbraně
AttSpell	Kouzla
AttDefense	Obrana
AttResistance	Odolnost

StrTip		Zvyšuje sílu úderu při boji zblízka a sílu odražení útoku.
AgiTip		Zvyšuje sílu útoku zblízka i na dálku, šanci na kritický zásah a úhyb.
AwaTip		Zvyšuje sílu kouzel, přidává manu a přidává body do expertýzy.
WilTip		Zvyšuje množství many, rychlost obnovy many, odolnost proti magii a schopnost blokovat útok.
StaTip		Zvyšuje zdraví, zrychluje uzdravování a obnovu many (mimo boj).

HPTip		Když klesne na 0, postava omdlí.
ManaTip		Hodí se při kouzlení.
RegenTip	Obnova many a uzdravování probíhají jednou za 5 vteřin.

APTip		Zvyšuje poškození chladnými zbraněmi a dovednostmi založenými na chladných zbraních.
RAPTip		Zvyšuje poškození střelnými zbraněmi a dovednostmi založenými na střelných zbraních.
SPTip		Zvyšuje sílu všech dovedností. // kouzel.
DpsTip		Průměrné poškození za sekundu - pouze pro automatické útoky.\n\nBere v úvahu šanci na zásah, šanci na kritický zásah (šnKZ), spěch a expertýzu.

ParryTip	Šance na odražení útoku chladnými zbraněmi.\nÚspěšné odražení obvykle znamená zrušení celého útoku.
DodgeTip	Šance na úhyb před útokem chladnými zbraněmi.\nÚspěšný úhyb se rovná vyhnutí se celému útoku.
BlockTip	Šance na blokování útoku chladnými zbraněmi štítem.\nÚspěšné blokování snižuje poškození o 30%.
ArmorTip	Snižuje poškození z fyzických útoků.

ResNatTip	Snižuje poškození způsobené na přírodě založenými útoky.
ResArcanTip	Snižuje poškození způsobené na tajemnu založenými útoky.
ResFireTip	Snižuje poškození způsobené na ohni založenými útoky.
ResFrostTip	Snižuje poškození způsobené na mrazu založenými útoky.
ResShadTip	Snižuje poškození způsobené na temnotě založenými útoky.
ResHolyTip	Snižuje poškození z posvěcených útoků.

CritTip		Každý útok, ať už automatický nebo pomocí dovednosti, má takto vysokou šanci stát se kritickým.

mCritXTip	Násobek poškození při kritickém zásahu (KZ) chladnou zbraní.
rCritXTip	Násobek poškození při kritickém zásahu (KZ) střelnou zbraní.
sCritXTip	Násobek poškození při kritickém zásahu (KZ) dovedností. // kouzlem.

HasteTip	Zvyšuje rychlost použití dovedností a všechny efekty vázané na čas.\n\nNavíc snižuje [>GlobalCD], nikoli však pauzu mezi dovednostmi - ta je pevně zafixovaná na 6 sekundách.
HitTip		Zvyšuje šanci zasáhnout cíl využitím dovedností.
XpertiseTip	Snižuje šanci na odražení.\nMaximální použitelná míra je 5%, protože i maximální šance na odražení je 5%.
ExperienceTip	Když postava dosáhne požadovaného množství bodů, pak se jí zvýší úroveň.

GlobalCD	Globální pauzu

CharStats	Statistika
CharStat00	Počet omdlení // Fallen Uncounscious
CharStat01	Největší zásah
CharStat02	Nejvyšší DPS za 12s
CharStat03	Zabito nepřátel

NoRaceBonus	Bez bonusu

//=== Map
NoMap		Mapu pro toto patro se ještě nepodařilo najít
LevelN		Patro {0}
MapNextLevel	do patra {0}

//=== Abilities ====================================================================
AbManaCost	Spotřeba many: {0} MP
AbSpeed		Použití: {0}
AbChanneled	(dle magie) // XFix - weapon base is displayed in brackets, but magic not
AbCD		Pauza: {0}
AbCDleft	K dipozici za: {0}
WeaponBased	dle zbraně
AbRangeDist	Dostřel: {0} m
AbMeleeRange	V dosahu zbraní
AbAoeRange	Dosah: {0} m
AbDamageType	Typ poškození: {0}
AbTimeleft	Zbývá: {0}
AbSecond	s
AbSeconds	s
AbMinute	m
AbMinutes	m
AbAutoAttack	Automatický útok
AbNoCombat	Nelze použít během boje
OnlyOneTarget	Účinkuje pouze na jeden cíl
PartyCD		(sdíleno s celou bandou)
MobTarget	Cíl
Owner		Vlastník

AbRequire	Vyžaduje
WeaponTip	{0} ({1})		// {1} = Hand ; {0} = Weapon Kind
AllExceptTip	Všechny zbraně vyjma

AbInstant	ihned
AbNoQueue	mimo frontu

DmgPhysical	Fyzické poškození
DmgNature	Přírodní magie
DmgArcane	Tajemná magie
DmgFire		Ohňová magie
DmgFrost	Mrazivá magie
DmgShadow	Temná magie
DmgHoly		Posvátná magie
DmgFall		Pád
DmgWeapon	Zbraň


// {0} = Damage / Healing
// {1} = Total Dot Damage / Healing
// {2} = Total Dot Length
// {3] = Dot End Damage / Healing
// {4} = MaxStack
// {5} = Effect Modifier #1
// {6} = AoE Projectile Max Damage
// {7} = Good Color Opening Tag	// Closing Tag = </color>
// {8} = Bad Color Opening Tag
// {9} = Effect Modifier #2
// {10} = Effect Modifier #3
// {11} {12} {13} = Effect Modifier #1 raw value (ie: not formatted & colored string)

//ChTip<AbName> => {0} Charge A ; {1} Charge B

//=== Mage - Elementalist
AbFirebolt	Prskavka
DescFirebolt	Vyšle ohnivý šíp, který způsobí poškození {0} HP.

AbFireball	Ohnivá koule
DescFireball	Vyšle velkou ohnivou kouli, která při dopadu exploduje a způsobí poškození {0} HP, navíc způsobí okolním nepřátelům poškození až {6} HP.

AbScorch	Sežehnutí
DescScorch	Sežehnutí způsobí poškození {0} HP plus {1} HP během {2}.

AbIgnite	Zážeh
TickIgnite	Popáleniny oběti způsobí poškození {1} HP během {2}.

AbRainOfFire	Ohnivý déšť
DescRainOfFire	Popáleniny způsobí okolním nepřátelům poškození {1} HP.

AbWaterShield	Vodní štít
DescWaterShield	Postaví kolem tebe vodní stěnu, která absorbuje {5} veškerého příchozího poškození po dobu {2}.

AbIceShield	Ledový štít
DescIceShield	Postaví kolem tebe ledovou stěnu, která absorbuje {5} veškerého příchozího poškození po dobu {2}.

AbFrostbolt	Ledový šíp
DescFrostbolt	Vyšle ledový šíp, který způsobí nepříteli poškození {0} HP.

AbFocus		Soustředění
DescFocus	Obnoví {7}25%</color> Tvého maximálního množství many.

AbIceblast	Ledovice
DescIceblast	Okamžitě způsobí nepříteli poškození {0} HP.

AbFlashFreezing	Bleskový mráz
DescFlashFreezing	Sníží nepříteli hodnotu vlastnosti [>Haste] o {5} po dobu {2}.

// XWhere is used?
AbCauterize	Zatavení
DescCauterize	Popálením Způsobí poškození {1} HP během {2}.

//=== Mage - Warlock
AbTorment	Muka
DescTorment	Způsobí nepříteli poškození {1} HP během {2}.

AbShadowBall	Závan temnoty
DescShadowBall	Způsobí nepříteli poškození {0} HP.

AbDirePlague	Novodobý mor // Dire Plague
DescDirePlague	Způsobí nepříteli poškození {1} HP během {2}. Poškození se časem zvyšuje.

AbHellFire	Pekelný oheň
DescHellFire	Způsobí okolním nepřátelům poškození {1} HP.

AbDominate	Ovládni
DescDominate	Způsobí nepříteli poškození {0} HP a tomu sammému nepříteli zvyšuje po dobu {2} o {5} poškození způsobené Tvými dovednostmi.

AbDrainLife	Upír
DescDrainLife	Způsobí nepříteli poškození {1} HP a získanou energii použije na Tvé uzdravení.

AbLethalEmpowerment	Vražedná síla
DescLethalEmpowerment	Způsobí Ti poškození {0} HP a získanou energii převede na manu.

AbDemonicForm	V kůži démona
DescDemonicForm	Přemění Tě na démona na {2} - veškeré Tebou způsobené fyzické poškození se zvýší o {5}, temnotou způsobené poškození o {9} a veškeré příchozí poškození se zníží o {10}.

//=== Mage - Arcanist
AbArcaneRupture	Tajemný výbuch
DescArcaneRupture	Způsobí nepříteli poškození {1} HP během {2}. Může se opakovat {4} krát po sobě.

AbArcaneBurst	Tajemné šípy
DescArcaneBurst	Vyšle sérii smrtících šípů, které způsobí nepříteli poškození {1} HP.

AbArcaneFusion	Tajemná fůze
DescArcaneFusion	Způsobí nepříteli poškození {1} HP během {2}. Může se opakovat {4} krát po sobě.

AbArcaneArmor	Tajemná zbroj
DescArcaneArmor	Zvyšuje hodnotu vlastnosti [>Armor] o {5}% po dobu {2}.

AbArcaneLock	Tajemná klec
DescArcaneLock	Uzavře nepřítele do klece a tím mu znemožní útočit po dobu {2}. Klec vydrží poškození až {5} HP, pak se rozpadne. Nelze použít proti nepřátelům tříd [>GenBoss] a [>GenElite].

AbMindFocus	Soustředění
DescMindFocus	Zvyšuje po dobu {2} parťákovu šanci na KZ o {5}%. Pokud se mu KZ podaří, pak Tvá šance na KZ je na <color=white>12 s</color> zvýšena o {5}%.

AbTwinFocus	Maximální soustředění
DescTwinFocus	Zvyšuje šanci na KZ o {5}% po dobu {2}.

AbOverCharge	Akumulátor
DescOverCharge	Zvyšuje poškození způsobené dovednostmi založenými na tajemnu o {5}, ale zároveň zvyšuje množství many k nim potřebné o {9}. Trvá {2}.

AbEthericEnergy	Duševní energie
DescEthericEnergy	Snižuje množství many potřebné k použití dovedností o {5} po dobu {2}.

AbArcaneImplosion	Tajemná imploze
DescArcaneImplosion	Způsobí nepříteli poškození {0} HP. Poškození se zvyšuje o {8}100%</color> za každý aktivní efekt způsobený dovedností [>AbArcaneRupture].\n\nT.j. pokud jsem na nepřítele použil 3x [>AbArcaneRupture], z toho jedno použití už vypršelo, pak je dodatečné poškození {8}200%</color>\n\nZruší nepříteli následky dovednosti [>AbArcaneRupture].

AbEsotericConnection	Spojení s Bohem
DescEsotericConnection	Zvyšuje poškození způsobené bandou o {5} po dobu {2}.

AbTotalRupture	Erupce
DescTotalRupture	Obnoví časovač dovednosti [>AbArcaneRupture] ovlivňující vybraného nepřítele.

//=== Healer - Druid
AbHeal		Léčení
DescHeal	Uzdraví parťáka o {0} HP.

AbLifeBloom	Bujení života
DescLifeBloom	Uzdraví parťáka o {1} HP během {2}. Když působení dovednosti skončí, parťák je uzdraven o dalších {3} HP. Může být opakováno až {4} krát po sobě.

AbRegrowth	Dorůstání
DescRegrowth	Uzdraví parťáka o {1} HP během {2}.

AbSavior	Spasitel
DescSavior	Okamžitě uzdraví parťáka o {0} HP.\n\nPozor - pauzu mezi použitími sdílí s dovednostmi [>AbMortification] a [>AbOverMyDeadBody].

AbDanceOfGaia	Tanec Země
DescDanceOfGaia	Uzdraví celou bandu o {1} HP.

AbWildRegrowth	Zběsilé dorůstání
DescWildRegrowth	Uzdraví parťáka o {1} HP během {2}.

AbDanceOfStars	Tanec hvězd
DescDanceOfStars	Uzdraví parťáka o {1} HP během {2}.

AbRegrowthMana	Plody země
DescRegrowthMana	Obnoví {1} maximálního množství many během {2}.

AbRainOfLife	Déšť života
DescRainOfLife	Uzdraví celou bandu o {1} HP během {2}; zpočátku je léčení výraznější v čase slábne.

AbTreeForm	Býti stromem
DescTreeForm	Změníš se ve strom na dobu {2}, čím zvýšíš své léčivé účinky o {5} a snížíš příchozí poškození o {9}.

AbDruidDispel	Osvobození
DescDruidDispel	Zruší negativní vliv jedné dovednosti.\nKlikni na konkrétní vliv nebo klikni na obrázek parťáka a naposledy získaný negativní vliv bude zrušen.

//=== Healer - Priest
AbRitualRecover	Rituální obnova
DescRitualRecover	Obnoví množství Tvé many na maximální hodnotu.

AbRighteousShield	Štít spravedlivého
DescRighteousShield	Postaví kolem tebe neviditelnou stěnu, která absorbuje {5} veškerého příchozího poškození po dobu {2}.
ChTipRighteousShield	\n\nZvládne ještě pohltit {0} poškození.

AbFlashHeal	Bleskovka
DescFlashHeal	Rychlá, ale drahá dovednost - uzdraví o {0} HP.

AbRenew		Obnova
DescRenew	Uzdraví parťáka o {1} HP během {2}.

AbSacrament	Hostie
DescSacrament	Uzdraví parťáka o {0} HP.

AbTwinHeal	Dvojitá léčba
DescTwinHeal	Uzdraví parťáka o {0} HP a Tebe o {5} ze stejného množství.

AbDivineGrace	Vděk boží
DescDivineGrace	Zvyšuje po dobu {2} účinnost léčení o {5}. Může být opakováno až {4} krát po sobě.

AbSacredNova	Svatá hvězda
DescSacredNova	Uzdraví celou bandu o {0} HP.

AbPrayerOfRedemption	Modlitba za vykoupení
DescPrayerOfRedemption	Uzdraví celou bandu o {0} HP.

AbMortification	Umrtvení
